technical/911report/chapter-1.txt:    At the White House, the video teleconference was conducted from the Situation Room by Richard Clarke, a special assistant to the president long involved in counterterrorism. Logs indicate that it began at 9:25 and included the CIA; the FBI; the departments of State, Justice, and Defense; the FAA; and the White House shelter. The FAA and CIA joined at 9:40. The first topic addressed in the White House video teleconference-at about 9:40-was the physical security of the President, the White House, and federal agencies. Immediately thereafter it was reported that a plane had hit the Pentagon. We found no evidence that video teleconference participants had any prior information that American 77 had been hijacked and was heading directly toward Washington. Indeed, it is not clear to us that the video teleconference was fully under way before 9:37, when the Pentagon was struck.
technical/911report/chapter-10.txt:            In response to a request about the counterterrorism benefits of the 9/11 detainee
technical/911report/chapter-11.txt:                months before 9/11:"It would be a mistake to redefine counterterrorism as a task of
technical/911report/chapter-11.txt:                alerts, when the nation had relaxed, Clarke held a meeting of his Counterterrorism
technical/911report/chapter-11.txt:                warning to the CTC. An Intelligence Community Counterterrorism Board had the
technical/911report/chapter-11.txt:                debate on counterterrorism in the Bush administration before 9/11 had to do with
technical/911report/chapter-11.txt:                counterterrorism campaign against an enemy of this magnitude would be business
technical/911report/chapter-11.txt:            The high price of keeping counterterrorism policy within the restricted circle of the
technical/911report/chapter-11.txt:                Counterterrorism Security Group and the highest-level principals was nowhere more
technical/911report/chapter-11.txt:                counterterrorism.
technical/911report/chapter-11.txt:                this agency's role was so central in the government's counterterrorism efforts.
technical/911report/chapter-11.txt:                linked transparently to counterterrorism objectives. It would then detail the
technical/911report/chapter-11.txt:                across-the-board funding increases. Proponents of the counterterrorism agenda might
technical/911report/chapter-11.txt:                if offered a convincing counterterrorism budget strategy. The DCI's management
technical/911report/chapter-11.txt:                the counterterrorism effort was broken.
technical/911report/chapter-11.txt:            After the millennium alert, the government relaxed. Counterterrorism went back to
technical/911report/chapter-11.txt:                the Counterterrorism Security Group. But the experience showed that the government
technical/911report/chapter-11.txt:                Counterterrorism Security Group did their utmost to sound a loud alarm, its basis
technical/911report/chapter-12.txt:            Practically every aspect of U.S.counterterrorism strategy relies on international
technical/911report/chapter-12.txt:                    remain front and center in U.S. counterterrorism efforts. The government has
technical/911report/chapter-12.txt:                lack of well-developed counterterrorism measures as a part of border security and an
technical/911report/chapter-12.txt:                counterterrorism. These weaknesses have been reduced but are far from being
technical/911report/chapter-12.txt:                a vital part of counterterrorism strategy. Better technology and training to detect
technical/911report/chapter-12.txt:                government counterterrorism community.
technical/911report/chapter-12.txt:                rule of law, yet serve equally well as a vital element of counterterrorism.
technical/911report/chapter-12.txt:                the immigration laws as a tool in its counterterrorism effort. Even without the
technical/911report/chapter-13.1.txt:                    terrorists across the foreign-domestic divide with a National Counterterrorism
technical/911report/chapter-13.1.txt:                unifying the many participants in the counterterrorism effort and their
technical/911report/chapter-13.1.txt:                    each headed by a four-star general, have counterterrorism as a primary mission:
technical/911report/chapter-13.1.txt:                critical experts-for example, skilled counterterrorism analysts and linguists-is
technical/911report/chapter-13.1.txt:                counterterrorism. It should combine strategic intelligence and joint operational
technical/911report/chapter-13.1.txt:                    Counterterrorism Center (NCTC), built on the foundation of the existing
technical/911report/chapter-13.1.txt:                    intelligence resources, including its own NSA counterterrorism experts, to
technical/911report/chapter-13.1.txt:                    on counterterrorism, specifically including the head of the Counterterrorist
technical/911report/chapter-13.1.txt:                    Center, the head of the FBI's Counterterrorism Division, the commanders of the
technical/911report/chapter-13.1.txt:                    State Department's coordinator for counterterrorism.
technical/911report/chapter-13.1.txt:                    Management and Budget in developing the president's counterterrorism budget.
technical/911report/chapter-13.1.txt:            In our first section, we concentrated on counterterrorism, discussing how to combine
technical/911report/chapter-13.1.txt:                just at the counterterrorism problem. We reflect on whether the government is
technical/911report/chapter-13.1.txt:                Office of Intelligence and the Counterterrorism and Counterintelligence
technical/911report/chapter-13.1.txt:                One such problem is counterterrorism. In this case, we believe that the center
technical/911report/chapter-13.1.txt:                    Counterterrorism Center we have proposed. It would sit there alongside the
technical/911report/chapter-13.1.txt:                    intelligence agencies to meet any new priority (as counterterrorism was in the
technical/911report/chapter-13.1.txt:            The other reforms we have suggested-for a National Counterterrorism Center and a
technical/911report/chapter-13.1.txt:                    counterterrorism-is now dysfunctional. Congress should address this problem. We
technical/911report/chapter-13.1.txt:                intelligence center, part of the NCTC, that will oversee counterterrorism
technical/911report/chapter-13.1.txt:                    officials most responsible for current counterterrorism efforts while the threat
technical/911report/chapter-13.1.txt:                    counterterrorism responsibilities would exacerbate existing information-sharing
technical/911report/chapter-13.1.txt:                Counterterrorism investigations in the United States very quickly become
technical/911report/chapter-13.1.txt:                Counterterrorism investigations often overlap or are cued by other criminal
technical/911report/chapter-13.1.txt:            Our recommendation to leave counterterrorism intelligence collection in the United
technical/911report/chapter-13.1.txt:                in counterterrorism/counterintelligence, cyber crimes, criminal investigations, or
technical/911report/chapter-13.1.txt:            We want to ensure that the Bureau's shift to a preventive counterterrorism posture is
technical/911report/chapter-13.1.txt:                found acceptance of the Director's clear message that counterterrorism is now the
technical/911report/chapter-13.1.txt:                    programs-intelligence, counterterrorism and counterintelligence, criminal, and
technical/911report/chapter-13.3.txt:            3 Counterterrorism Evolves
technical/911report/chapter-13.3.txt:                James Risen and David Johnston,"Threats and Reponses: Counterterrorism; Qaeda Aide
technical/911report/chapter-13.3.txt:                Appropriations Committee, June 18, 2003; FBI report, "Counterterrorism Program Since
technical/911report/chapter-13.3.txt:            17. On Pan Am bombing investigation, see Commission analysis of U.S. counterterrorism
technical/911report/chapter-13.3.txt:                Headquarters-Establishment of Counterterrorism Division and Investigative Services
technical/911report/chapter-13.3.txt:                Counterterrorism Program: Threat Assessment, Strategic Planning, and Resource
technical/911report/chapter-13.3.txt:                assessment, see DOJ Inspector General report, "Review of the FBI's Counterterrorism
technical/911report/chapter-13.3.txt:                Counterterrorism Program," Sept.2002, p. 74. For translation resources, see FBI
technical/911report/chapter-13.3.txt:                report,"FY 2002 Counterterrorism Division Program Plan Summary," undated, p. 4.
technical/911report/chapter-13.3.txt:                report,"The FBI's Counterterrorism Program Since September 2001,"Apr. 14, 2004. The
technical/911report/chapter-13.3.txt:            27. FBI report, "Director's Report on Counterterrorism," Sept. 1, 2001, pp. I-1-I-14.
technical/911report/chapter-13.3.txt:                Headquarters-Establishment of Counterterrorism Division and Investigative Services
technical/911report/chapter-13.3.txt:                views, see FBI report, Counterterrorism Division, International Terrorism
technical/911report/chapter-13.3.txt:                counterterrorism-related reports-whether or not the information was subject to the
technical/911report/chapter-13.3.txt:                "Counterterrorism/National SecuNOTES TO CHAPTER 3 475 rity Strategy and Casework
technical/911report/chapter-13.3.txt:                2003); CIA Inspector General report, "The Agency's Counterterrorism Effort," Oct.
technical/911report/chapter-13.3.txt:            95. Commission analysis of U.S. counterterrorism strategy from 1968 to 1993.
technical/911report/chapter-13.3.txt:            101. Presidential Decision Directive/NSC-39, "U.S. Policy on Counterterrorism," June
technical/911report/chapter-13.3.txt:                counterterrorism that they believed were being underfunded. On the intelligence
technical/911report/chapter-13.3.txt:                Intelligence Gaps in Counterterrorism before the Special Oversight Panel on
technical/911report/chapter-13.3.txt:                The third, chaired by L. Paul Bremer, the former State Department counterterrorism
technical/911report/chapter-13.3.txt:            Alleged Sudanese offers to cooperate on counterterrorism have been the subject of
technical/911report/chapter-13.3.txt:                "carrots" for Sudanese moderates to cooperate on counterterrorism. He also faulted
technical/911report/chapter-13.3.txt:                engage and test the Sudanese on counterterrorism. Timothy Carney interview (Dec.4,
technical/911report/chapter-13.3.txt:                counterterrorism in early 1996, would conclude that "there is no indication that
technical/911report/chapter-13.3.txt:                State Albright, extending an invitation for a U.S. counterterrorism inspection
technical/911report/chapter-13.3.txt:            61. DOD memo, "Towards a More Aggressive Counterterrorism Posture," undated, pp. 1,
technical/911report/chapter-13.3.txt:                counterterrorism. See, e.g., CIA memo, Tenet to Berger, Tenet's meeting with Crown
technical/911report/chapter-13.3.txt:                had returned from a visit to the UAE, where he had been working on counterterrorism
technical/911report/chapter-13.3.txt:                letter, Tenet to President Clinton, "CIA's Counterterrorism Efforts,"Oct. 16, 1999.
technical/911report/chapter-13.4.txt:                Counterterrorism Perspective," Jan. 26, 2000; DOS cable, Islamabad 00396,"Inderfurth
technical/911report/chapter-13.4.txt:                June 21, 2000. Musharraf agreed to create a counterterrorism working group to
technical/911report/chapter-13.4.txt:                non-counterterrorism programs. NSC memo, Kurtz to Berger, "Budget Issues," May 2,
technical/911report/chapter-13.4.txt:                Clarke was advising Berger that unfunded counterterrorism requests continued to be
technical/911report/chapter-13.4.txt:                counterterrorism activities. Within the Directorate of Intelligence, a group was
technical/911report/chapter-13.4.txt:                O'Neill,"Your PC on Counterterrorism on 4 September," Sept. 4, 2001. National
technical/911report/chapter-13.4.txt:            94. PDD-62, May 22, 1998; PDD-39, "U.S. Policy on Counterterrorism," June 21, 1995,
technical/911report/chapter-13.4.txt:                however, noticed by the NSC counterterrorism staff, which pointedly asked to be kept
technical/911report/chapter-13.4.txt:                counterterrorism chief Hull that while Yemen was not saying so publicly, Yemen was
technical/911report/chapter-13.4.txt:            183. See CIA memo, "History of Funding for CIA Counterterrorism," Aug. 12, 2002. One
technical/911report/chapter-13.4.txt:                of Clarke's concerns had been the level of funding for counterterrorism in the new
technical/911report/chapter-13.4.txt:                materials, TNT to Rice, counterterrorism briefing for Bush/Cheney transition team,
technical/911report/chapter-13.4.txt:                meeting with Rice on the draft Afghanistan counterterrorism finding and the draft
technical/911report/chapter-13.4.txt:            231. On the FBI strategy, see FBI report, Counterterrorism Division,
technical/911report/chapter-13.4.txt:                FBI's original counterterrorism budget request in light of the continuing threat. It
technical/911report/chapter-13.4.txt:                memo,"Talking Points for the DCI on the Draft Afghanistan Counterterrorism Finding
technical/911report/chapter-13.4.txt:            254. Ibid.; NSC memo, Cressey to Rice, September 4 PC on counterterrorism, Sept. 3,
technical/911report/chapter-13.4.txt:            Bayoumi was once the subject of an FBI counterterrorism investigation, prompted by
technical/911report/chapter-13.4.txt:                have both been the subject of FBI counterterrorism investigations. The
